0,200
1,37
2,161
3,170
4,101
5,76
6,97
7,122
8,5
9,145
10,143
11,92
12,162
13,83
14,75
15,86
16,90
17,12
18,155
19,173
20,116
21,110
22,89
23,137
24,205
25,18
26,184
27,15
28,199
29,213
30,7
31,107
32,61
33,124
34,138
35,153
36,33
37,144
38,96
39,194
40,108
41,183
42,139
43,16
44,189
45,146
46,130
47,22
48,181
49,45
50,55
51,4
52,166
53,197
54,44
55,66
56,52
57,71
58,123
59,26
60,63
61,157
62,74
63,8
64,40
65,13
66,150
67,80
68,24
69,30
70,60
71,56
72,111
73,171
74,19
75,216
76,106
77,54
78,187
79,51
80,134
81,149
82,104
83,159
84,135
85,154
86,109
87,126
88,14
89,27
90,118
91,196
92,20
93,46
94,190
95,212
96,141
97,125
98,62
99,112
100,2
101,59
102,160
103,202
104,43
105,10
106,156
107,73
108,208
109,210
110,201
111,158
112,98
113,3
114,93
115,129
116,169
117,207
118,50
119,113
120,0
121,94
122,136
123,95
124,64
125,152
126,41
127,69
128,49
129,48
130,85
131,214
132,23
133,78
134,100
135,131
136,176
137,215
138,6
139,68
140,84
141,121
142,203
143,211
144,185
145,180
146,179
147,91
148,186
149,11
150,119
151,102
152,35
153,57
154,65
155,1
156,120
157,198
158,42
159,105
160,132
161,188
162,17
163,38
164,133
165,53
166,164
167,168
168,128
169,34
170,28
171,114
172,163
173,151
174,31
175,178
176,127
177,191
178,32
179,167
180,142
181,182
182,147
183,29
184,177
185,99
186,82
187,175
188,79
189,115
190,148
191,209
192,72
193,77
194,25
195,165
196,81
197,204
198,174
199,206
200,39
201,193
202,58
203,140
204,88
205,70
206,87
207,36
208,21
209,9
210,103
211,195
212,67
213,192
214,117
215,47
216,172
